     #Energy        Pd_d
    -4.32115    36.57922
    -4.30515    28.67409
    -4.28815    29.56532
    -4.27115    46.55005
    -4.25515    30.08010
    -4.23815    45.39801
    -4.22215    38.43861
    -4.20515    42.56833
    -4.18815    53.14534
    -4.17215    63.95060
    -4.15515    31.67895
    -4.13815    49.33755
    -4.12215    58.86022
    -4.10515    55.96604
    -4.08815    29.88322
    -4.07215    58.32802
    -4.05515    71.48840
    -4.03815    74.71460
    -4.02215    60.63425
    -4.00515    38.79182
    -3.98815   100.53750
    -3.97215    63.84260
    -3.95515    79.46000
    -3.93815    56.96654
    -3.92215    64.10881
    -3.90515    32.28700
    -3.88915    26.69700
    -3.87215    33.64657
    -3.85515    57.79972
    -3.83915    47.96924
    -3.82215    42.51694
    -3.80515    39.02884
    -3.78915    95.16230
    -3.77215    49.50341
    -3.75515    34.22704
    -3.73915    31.85857
    -3.72215    47.38049
    -3.70515    27.92763
    -3.68915    33.74669
    -3.67215    18.02806
    -3.65515    44.37370
    -3.63915    43.35240
    -3.62215    29.66415
    -3.60515    44.80324
    -3.58915    45.66150
    -3.57215    41.18110
    -3.55515    50.03200
    -3.53915    51.83590
    -3.52215    60.42070
    -3.50615    38.40758
    -3.48915    21.05073
    -3.47215    29.77439
    -3.45615    37.01460
    -3.43915    62.17690
    -3.42215    58.17610
    -3.40615    68.71550
    -3.38915    57.21420
    -3.37215    51.79710
    -3.35615    67.22520
    -3.33915    46.43320
    -3.32215    37.58170
    -3.30615    52.86500
    -3.28915    52.30960
    -3.27215    44.70680
    -3.25615    28.71280
    -3.23915    35.42260
    -3.22215    49.73670
    -3.20615    24.98817
    -3.18915    56.29740
    -3.17315    40.24820
    -3.15615    31.14148
    -3.13915    50.22810
    -3.12315    36.37540
    -3.10615    32.88010
    -3.08915    46.02680
    -3.07315    46.16070
    -3.05615    32.33070
    -3.03915    46.93188
    -3.02315    48.56050
    -3.00615    58.60190
    -2.98915    35.33460
    -2.97315    35.52090
    -2.95615    81.88280
    -2.93915    35.74030
    -2.92315    54.04910
    -2.90615    47.72990
    -2.88915    32.11358
    -2.87315    44.61340
    -2.85615    33.73073
    -2.84015    38.17080
    -2.82315    40.38300
    -2.80615    50.85190
    -2.79015    36.09600
    -2.77315    35.03410
    -2.75615    51.48800
    -2.74015    58.48180
    -2.72315    56.79120
    -2.70615    48.17950
    -2.69015   123.04710
    -2.67315    38.62690
    -2.65615    60.65080
    -2.64015    58.14790
    -2.62315    55.19340
    -2.60615    61.01350
    -2.59015    61.26520
    -2.57315    63.69770
    -2.55615    52.03790
    -2.54015    65.53590
    -2.52315    66.87830
    -2.50715    63.56400
    -2.49015    68.37970
    -2.47315   117.56510
    -2.45715    47.16970
    -2.44015    78.13180
    -2.42315    75.26750
    -2.40715    74.95960
    -2.39015    57.94100
    -2.37315    41.25660
    -2.35715   119.12480
    -2.34015   108.73090
    -2.32315   181.39820
    -2.30715   120.67550
    -2.29015    88.23440
    -2.27315    69.84840
    -2.25715    93.28690
    -2.24015    65.69200
    -2.22315    97.84750
    -2.20715   111.05510
    -2.19015   129.70450
    -2.17315    44.02020
    -2.15715    73.73690
    -2.14015   104.64150
    -2.12415    67.66790
    -2.10715    55.52060
    -2.09015   108.90370
    -2.07415    70.33380
    -2.05715    67.67980
    -2.04015    33.11016
    -2.02415    67.74710
    -2.00715    90.62720
    -1.99015    89.48710
    -1.97415    69.01840
    -1.95715   146.46500
    -1.94015    60.74910
    -1.92415    63.09390
    -1.90715    77.27430
    -1.89015    51.37790
    -1.87415    53.32090
    -1.85715    28.31320
    -1.84015    60.86040
    -1.82415   123.68040
    -1.80715    68.78330
    -1.79115    50.56490
    -1.77415    61.26310
    -1.75715    41.04080
    -1.74115    55.47950
    -1.72415    58.28310
    -1.70715    60.20710
    -1.69115    73.79080
    -1.67415    47.38110
    -1.65715    44.55980
    -1.64115    40.93730
    -1.62415    38.97915
    -1.60715    46.71214
    -1.59115    40.11721
    -1.57415    61.83461
    -1.55715    57.51379
    -1.54115    85.47410
    -1.52415    55.24300
    -1.50715    74.18490
    -1.49115    58.96680
    -1.47415    80.69910
    -1.45815   129.37740
    -1.44115    67.89890
    -1.42415    68.51720
    -1.40815    78.69020
    -1.39115    87.91630
    -1.37415    39.07980
    -1.35815    53.75020
    -1.34115    51.45830
    -1.32415    40.28030
    -1.30815    44.99910
    -1.29115    60.66390
    -1.27415    69.92240
    -1.25815    59.59220
    -1.24115   125.15700
    -1.22415    77.16200
    -1.20815    59.44600
    -1.19115    56.12930
    -1.17415    67.80140
    -1.15815    69.54340
    -1.14115    55.22260
    -1.12415    43.49080
    -1.10815    53.77270
    -1.09115    36.67950
    -1.07515    43.33080
    -1.05815    42.22848
    -1.04115    55.21400
    -1.02515    43.19770
    -1.00815    41.39790
    -0.99115    46.33580
    -0.97515    53.44430
    -0.95815    88.59390
    -0.94115    97.60300
    -0.92515    44.11490
    -0.90815    97.35470
    -0.89115    63.91550
    -0.87515   114.94650
    -0.85815    78.72640
    -0.84115    57.32920
    -0.82515    49.77190
    -0.80815    61.59960
    -0.79115    63.06530
    -0.77515    68.06850
    -0.75815    75.92200
    -0.74215    76.02410
    -0.72515    88.31810
    -0.70815    96.55700
    -0.69215    92.98720
    -0.67515   122.20940
    -0.65815    50.79330
    -0.64215    83.45380
    -0.62515    80.38840
    -0.60815    87.35700
    -0.59215   111.71380
    -0.57515    68.30680
    -0.55815    34.68570
    -0.54215    43.20010
    -0.52515    38.22570
    -0.50815    50.21500
    -0.49215    54.17910
    -0.47515    38.70916
    -0.45815    87.89640
    -0.44215    69.24750
    -0.42515    68.76190
    -0.40915    97.85940
    -0.39215   116.38290
    -0.37515   113.49630
    -0.35915    53.04510
    -0.34215    40.92070
    -0.32515    40.63010
    -0.30915    59.93130
    -0.29215    61.53010
    -0.27515    59.95140
    -0.25915    57.51840
    -0.24215    61.79580
    -0.22515   119.15340
    -0.20915   136.30860
    -0.19215   108.54730
    -0.17515   122.46370
    -0.15915   126.56810
    -0.14215   134.68440
    -0.12515    87.31000
    -0.10915    96.86390
    -0.09215   112.60070
    -0.07615   114.41600
    -0.05915   128.33140
    -0.04215    97.22680
    -0.02615   166.10500
    -0.00915   100.34090
     0.00785   119.33850
     0.02385    62.87820
     0.04085    72.48410
     0.05785    52.09330
     0.07385    47.26040
     0.09085    47.47170
     0.10785    52.87960
     0.12385    61.27550
     0.14085    55.51290
     0.15785    53.43151
     0.17385    64.18180
     0.19085    54.22768
     0.20785    33.99451
     0.22385    27.87165
     0.24085    21.65630
     0.25785    15.47530
     0.27385    19.23665
     0.29085     8.64468
     0.30685     7.08029
     0.32385     6.82040
     0.34085     6.56335
     0.35685     6.92718
     0.37385     6.76758
     0.39085     6.75447
     0.40685     6.56294
     0.42385     6.40226
     0.44085     6.24487
     0.45685     6.04701
     0.47385     5.79352
     0.49085    17.88305
     0.50685     5.60633
     0.52385     5.53401
     0.54085     5.51587
     0.55685     5.71019
     0.57385     5.89038
     0.59085     6.11075
     0.60685     6.65648
     0.62385     7.35489
     0.63985     8.05112
     0.65685     7.74174
     0.67385     6.35255
     0.68985     5.83965
     0.70685     5.39543
     0.72385     5.04826
     0.73985     4.70671
     0.75685    21.87829
     0.77385     2.65035
     0.78985     2.17151
     0.80685     2.68822
     0.82385     3.20122
     0.83985     3.71069
     0.85685     2.35391
     0.87385     2.38155
     0.88985     2.40943
     0.90685     2.43748
     0.92385     2.49148
     0.93985     2.56636
     0.95685     2.64223
     0.97285     2.72166
     0.98985     2.80895
     1.00685     2.89536
     1.02285     2.93598
     1.03985     3.20587
     1.05685     3.53781
     1.07285     6.35209
     1.08985     7.54536
     1.10685    13.80996
     1.12285     6.14432
     1.13985     5.04769
     1.15685     5.03547
     1.17285     4.94439
     1.18985     4.46238
     1.20685     4.60952
     1.22285     4.75565
     1.23985     4.90092
     1.25685     4.83531
     1.27285     4.97239
     1.28985     5.10581
     1.30585     5.23693
     1.32285     5.36586
     1.33985     4.75344
     1.35585     4.09365
     1.37285    15.64478
     1.38985     3.43700
     1.40585     3.31262
     1.42285     3.19073
     1.43985     3.07145
     1.45585     2.93828
     1.47285     2.93783
     1.48985     2.94530
     1.50585     2.94769
     1.52285     2.94718
     1.53985     2.94771
     1.55585     2.95081
     1.57285     2.96251
     1.58985     3.53441
     1.60585     3.48661
     1.62285     3.43943
     1.63985     3.40439
     1.65585     3.38163
     1.67285     3.35973
     1.68885     3.33877
     1.70585     3.31876
     1.72285     3.96437
     1.73885     3.53001
     1.75585     3.71173
     1.77285     3.78148
     1.78885     3.77270
     1.80585     4.16501
     1.82285     4.33804
     1.83885     5.29273
     1.85585     4.88535
     1.87285     5.24783
     1.88885     5.36094
     1.90585     5.47368
     1.92285     5.66393
     1.93885     7.04472
     1.95585     5.85121
     1.97285     5.82538
     1.98885     7.52052
     2.00585     6.46844
     2.02185     5.51856
     2.03885     3.87533
     2.05585     2.04040
     2.07185     2.07267
     2.08885     2.09898
     2.10585     2.08819
     2.12185     2.07781
     2.13885     2.06818
     2.15585     2.05950
     2.17185     2.05194
     2.18885     2.04551
     2.20585     2.04012
     2.22185     2.06096
     2.23885     1.76502
     2.25585     1.77104
     2.27185     1.77733
     2.28885     1.78399
     2.30585     1.79091
     2.32185     1.79813
     2.33885     3.95189
     2.35485     3.62149
     2.37185     1.99935
     2.38885     1.98986
     2.40485     1.98066
     2.42185     1.97174
     2.43885     2.18057
     2.45485     2.18496
     2.47185     2.18905
     2.48885     9.42453
     2.50485     3.59797
     2.52185     4.88524
     2.53885     6.69734
     2.55485     8.79433
     2.57185     7.01937
     2.58885     2.57920
     2.60485     2.96543
     2.62185     3.30449
     2.63885     3.29109
     2.65485     3.28069
     2.67185     3.27997
     2.68885     3.44966
     2.70485     5.72984
     2.72185     7.27614
     2.73785     8.41929
     2.75485     6.18296
     2.77185     4.77109
     2.78785     2.20981
     2.80485     0.91118
     2.82185     1.01170
     2.83785     1.11164
     2.85485     1.21100
     2.87185     1.30986
     2.88785     1.43611
     2.90485     1.58397
     2.92185     1.80967
     2.93785     1.56413
     2.95485     1.67702
     2.97185     2.15224
     2.98785     2.95504
     3.00485     2.79912
     3.02185     2.64296
     3.03785     2.48662
     3.05485     2.31355
     3.07085     2.56037
     3.08785     2.62882
     3.10485     2.64679
     3.12085     2.70590
     3.13785     2.84814
     3.15485     6.81487
     3.17085     2.23641
     3.18785     3.44643
     3.20485     2.90218
     3.22085     2.62619
     3.23785     3.02436
     3.25485     3.42776
     3.27085     2.67467
     3.28785     3.04793
     3.30485     1.98421
     3.32085     3.05982
     3.33785     3.48259
     3.35485     3.90640
     3.37085     4.33128
     3.38785     2.82134
     3.40385     3.52731
     3.42085     4.05847
     3.43785     3.54758
     3.45385     3.42780
     3.47085     3.96845
     3.48785     3.49919
     3.50385     3.17944
     3.52085     3.55623
     3.53785     3.73384
     3.55385     3.73438
     3.57085     3.75060
     3.58785     2.94732
     3.60385     2.88062
     3.62085     2.61417
     3.63785     2.95359
     3.65385     3.27790
     3.67085     1.94566
     3.68785     1.83691
     3.70385     1.73090
     3.72085     1.62767
     3.73685     1.52717
     3.75385     1.45100
     3.77085     1.63871
     3.78685     3.53402
     3.80385     3.26847
     3.82085     3.09311
     3.83685     2.12690
     3.85385     2.12650
     3.87085     2.18880
     3.88685     2.37272
     3.90385     2.88460
     3.92085     3.34440
     3.93685     3.86615
     3.95385     4.39426
     3.97085     3.57537
     3.98685     2.34465
     4.00385     2.27877
     4.02085     2.21308
     4.03685     2.14773
     4.05385     2.08244
     4.07085     2.01745
     4.08685     2.18503
     4.10385     4.46694
     4.11985     2.08392
     4.13685     2.03788
     4.15385     2.04698
     4.16985     2.40454
     4.18685     2.39702
     4.20385     2.39009
     4.21985     2.38377
     4.23685     2.37796
     4.25385     2.37144
     4.26985     2.37647
     4.28685     2.44260
     4.30385     2.67157
     4.31985     3.19566
     4.33685     3.46957
     4.35385     4.05729
     4.36985     4.37329
     4.38685     3.79569
     4.40385     4.88255
     4.41985     4.88139
     4.43685     2.36549
     4.45285     2.48410
     4.46985     2.18631
     4.48685     2.20317
     4.50285     2.28810
     4.51985     2.37393
     4.53685     2.45985
     4.55285     2.57581
     4.56985     2.38163
     4.58685     2.52544
     4.60285     2.62443
     4.61985     2.72432
     4.63685     2.56074
     4.65285     2.56063
     4.66985     2.38362
     4.68685     2.26752
     4.70285     2.28942
     4.71985     2.35089
     4.73685     2.43792
     4.75285     2.53150
     4.76985     2.25208
     4.78585     2.04196
     4.80285     1.83394
     4.81985     1.62781
     4.83585     1.61970
     4.85285     1.62815
     4.86985     1.63670
     4.88585     1.64534
     4.90285     1.65233
     4.91985     1.65408
     4.93585     1.61440
     4.95285     1.59863
     4.96985     1.58698
     4.98585     1.59911
     5.00285     1.61195
     5.01985     2.44937
     5.03585     2.77192
     5.05285     2.08307
     5.06985     2.07968
     5.08585     2.13612
     5.10285     2.19165
     5.11885     2.28572
     5.13585     2.60562
     5.15285     2.89864
     5.16885     2.74752
     5.18585     2.26543
     5.20285     1.87127
     5.21885     1.79870
     5.23585     1.85392
     5.25285     1.92029
     5.26885     1.95609
     5.28585     1.94423
     5.30285     1.93696
     5.31885     1.73753
     5.33585     1.40133
     5.35285     1.11264
     5.36885     1.01830
     5.38585     1.02647
     5.40285     0.98914
     5.41885     0.98831
     5.43585     0.94867
     5.45285     0.88856
     5.46885     0.80440
     5.48585     0.72537
     5.50185     0.68818
     5.51885     0.60847
     5.53585     0.58106
     5.55185     0.55367
     5.56885     0.52636
     5.58585     0.49909
     5.60185     0.47187
     5.61885     0.56194
     5.63585     0.61368
     5.65185     0.47789
     5.66885     0.33857
     5.68585     0.18600
     5.70185     0.18306
     5.71885     0.18010
     5.73585     0.17710
     5.75185     0.17407
     5.76885     0.17101
     5.78585     0.16792
     5.80185     0.16480
     5.81885     0.16165
     5.83485     0.15846
     5.85185     0.15525
     5.86885     0.15201
     5.88485     0.14874
     5.90185     0.14543
     5.91885     0.14209
     5.93485     0.13873
     5.95185     0.13534
     5.96885     0.13191
     5.98485     0.12845
     6.00185     0.12497
     6.01885     0.12145
     6.03485     0.21611
     6.05185     0.20213
     6.06885     0.18821
     6.08485     0.17432
     6.10185     0.16049
     6.11885     0.14671
     6.13485     0.13297
     6.15185     0.12016
     6.16785     0.10753
     6.18485     0.09495
     6.20185     0.08241
     6.21785     0.06992
     6.23485     0.05748
     6.25185     0.04549
     6.26785     0.03359
     6.28485     0.02174
     6.30185     0.00995
     6.31785     0.00000
     6.33485     0.00000
     6.35185     0.00000
     6.36785     0.00000
     6.38485     0.00000
     6.40185     0.00000
     6.41785     0.00000
     6.43485     0.00000
     6.45185     0.00000
     6.46785     0.00000
     6.48485     0.00000
     6.50185     0.00000
     6.51785     0.00000
     6.53485     0.00000
     6.55085     0.00000
     6.56785     0.00000
     6.58485     0.00000
     6.60085     0.00000
     6.61785     0.00000
     6.63485     0.00000
     6.65085     0.00000
     6.66785     0.00000
     6.68485     0.00000
     6.70085     0.00000
     6.71785     0.00000
     6.73485     0.00000
     6.75085     0.00000
     6.76785     0.00000
     6.78485     0.00000
     6.80085     0.00000
     6.81785     0.00000
     6.83485     0.00000
     6.85085     0.00000
     6.86785     0.00000
     6.88385     0.00000
     6.90085     0.00000
     6.91785     0.00000
     6.93385     0.00000
     6.95085     0.00000
     6.96785     0.00000
     6.98385     0.00000
     7.00085     0.00000
     7.01785     0.00000
     7.03385     0.00000
     7.05085     0.00000
     7.06785     0.00000
     7.08385     0.00000
     7.10085     0.00000
     7.11785     0.00000
     7.13385     0.00000
     7.15085     0.00000
     7.16785     0.00000
     7.18385     0.00000
     7.20085     0.00000
     7.21685     0.00000
     7.23385     0.00000
     7.25085     0.00000
     7.26685     0.00000
     7.28385     0.00000
     7.30085     0.00000
     7.31685     0.00000
     7.33385     0.00000
     7.35085     0.00000
     7.36685     0.00000
     7.38385     0.00000
     7.40085     0.00000
     7.41685     0.00000
     7.43385     0.00000
     7.45085     0.00000
     7.46685     0.00000
     7.48385     0.00000
     7.50085     0.00000
     7.51685     0.00000
     7.53385     0.00000
     7.54985     0.00000
     7.56685     0.00000
     7.58385     0.00000
     7.59985     0.00000
     7.61685     0.00000
     7.63385     0.00000
     7.64985     0.00000
     7.66685     0.00000
     7.68385     0.00000
     7.69985     0.00000
     7.71685     0.00000
     7.73385     0.00000
     7.74985     0.00000
     7.76685     0.00000
     7.78385     0.00000
     7.79985     0.00000
     7.81685     0.00000
     7.83385     0.00000
     7.84985     0.00000
     7.86685     0.00000
     7.88385     0.00000
     7.89985     0.00000
     7.91685     0.00000
     7.93285     0.00000
     7.94985     0.00000
     7.96685     0.00000
     7.98285     0.00000
     7.99985     0.00000
     8.01685     0.00000
     8.03285     0.00000
     8.04985     0.00000
     8.06685     0.00000
     8.08285     0.00000
     8.09985     0.00000
     8.11685     0.00000
     8.13285     0.00000
     8.14985     0.00000
     8.16685     0.00000
     8.18285     0.00000
     8.19985     0.00000
     8.21685     0.00000
     8.23285     0.00000
     8.24985     0.00000
     8.26585     0.00000
     8.28285     0.00000
     8.29985     0.00000
     8.31585     0.00000
